iter	Passed	Remaining
0	133	133544
1	135	67740
2	137	45605
3	138	34523
4	140	27871
5	141	23436
6	143	20358
7	144	17976
8	146	16141
9	148	14655
10	149	13437
11	150	12422
12	152	11562
13	153	10824
14	155	10187
15	156	9637
16	158	9193
17	160	8737
18	161	8325
19	162	7964
20	163	7630
21	164	7328
22	165	7049
23	167	6793
24	168	6557
25	169	6340
26	170	6140
27	171	5952
28	173	5800
29	174	5637
30	175	5484
31	176	5340
32	177	5205
33	178	5078
34	180	4964
35	182	4881
36	183	4779
37	184	4677
38	186	4585
39	188	4512
40	189	4424
41	190	4341
42	191	4262
43	192	4184
44	193	4110
45	194	4039
46	195	3971
47	196	3906
48	198	3843
49	199	3783
50	200	3735
51	202	3691
52	203	3638
53	204	3585
54	205	3535
55	206	3487
56	207	3440
57	209	3397
58	210	3353
59	211	3310
60	212	3269
61	213	3229
62	214	3195
63	215	3158
64	217	3130
65	218	3095
66	219	3061
67	220	3020
68	221	2987
69	222	2956
70	223	2925
71	224	2895
72	225	2867
73	226	2839
74	228	2812
75	230	2798
76	231	2779
77	233	2754
78	234	2729
79	235	2705
80	236	2681
81	237	2658
82	238	2637
83	239	2615
84	240	2589
85	241	2568
86	242	2546
87	243	2527
88	244	2507
89	246	2493
90	247	2474
91	248	2455
92	249	2437
93	251	2419
94	252	2402
95	253	2386
96	254	2368
97	255	2352
98	257	2339
99	258	2323
100	259	2308
101	260	2291
102	261	2276
103	263	2271
104	264	2257
105	265	2242
106	266	2228
107	268	2213
108	269	2200
109	270	2189
110	271	2176
111	272	2163
112	273	2149
113	275	2141
114	276	2128
115	277	2114
116	278	2102
117	279	2090
118	280	2076
119	281	2065
120	282	2053
121	283	2043
122	284	2028
123	285	2017
124	286	2006
125	287	1996
126	288	1986
127	289	1973
128	290	1963
129	291	1953
130	292	1943
131	294	1934
132	295	1925
133	296	1918
134	298	1909
135	299	1900
136	300	1892
137	301	1881
138	302	1872
139	303	1867
140	305	1858
141	306	1850
142	307	1841
143	308	1832
144	309	1824
145	310	1816
146	311	1809
147	313	1802
148	314	1794
149	315	1787
150	316	1779
151	317	1772
152	319	1767
153	320	1760
154	321	1752
155	322	1745
156	323	1739
157	325	1732
158	326	1724
159	327	1717
160	328	1710
161	329	1703
162	330	1697
163	331	1691
164	333	1687
165	334	1681
166	335	1674
167	337	1669
168	338	1662
169	339	1657
170	340	1650
171	341	1644
172	342	1638
173	343	1632
174	344	1625
175	346	1619
176	348	1619
177	349	1613
178	350	1608
179	352	1605
180	352	1597
181	353	1591
182	355	1585
183	356	1579
184	357	1574
185	358	1568
186	359	1562
187	360	1557
188	361	1551
189	362	1546
190	364	1541
191	367	1545
192	369	1546
193	371	1545
194	373	1539
195	374	1534
196	375	1529
197	376	1525
198	377	1521
199	379	1516
200	380	1511
201	381	1506
202	382	1501
203	383	1497
204	384	1492
205	386	1487
206	387	1483
207	388	1478
208	389	1474
209	390	1469
210	392	1466
211	393	1462
212	394	1457
213	395	1453
214	396	1448
215	397	1443
216	398	1439
217	399	1434
218	401	1430
219	402	1426
220	403	1421
221	404	1417
222	406	1415
223	407	1411
224	408	1407
225	409	1403
226	410	1399
227	411	1394
228	413	1390
229	414	1386
230	415	1382
231	416	1377
232	417	1373
233	418	1370
234	419	1366
