iter	Passed	Remaining
0	146	146413
1	148	74092
2	150	50094
3	153	38215
4	161	32112
5	163	27090
6	168	23893
7	177	21988
8	219	24143
9	226	22375
10	228	20550
11	231	19060
12	233	17744
13	243	17155
14	246	16179
15	248	15283
16	250	14494
17	257	14024
18	258	13367
19	260	12772
20	262	12235
21	264	11744
22	289	12282
23	290	11828
24	292	11408
25	294	11020
26	295	10660
27	297	10329
28	303	10155
29	305	9865
30	306	9589
31	308	9334
32	310	9091
33	311	8861
34	313	8645
35	319	8553
36	321	8361
37	323	8189
38	353	8721
39	355	8536
40	357	8361
41	359	8192
42	360	8033
43	363	7901
44	365	7756
45	367	7615
46	368	7479
47	370	7350
48	372	7226
49	374	7116
50	379	7057
51	381	6948
52	382	6840
53	384	6736
54	434	7461
55	436	7351
56	437	7243
57	440	7147
58	446	7121
59	448	7023
60	449	6926
61	451	6835
62	453	6745
63	455	6664
64	462	6648
65	463	6566
66	465	6484
67	467	6407
68	470	6347
69	563	7482
70	565	7396
71	567	7313
72	570	7241
73	578	7244
74	581	7169
75	583	7090
76	597	7160
77	603	7130
78	605	7055
79	610	7017
80	612	6947
81	618	6919
82	618	6838
83	669	7300
84	671	7233
85	674	7165
86	676	7095
87	684	7092
88	686	7028
89	688	6962
90	690	6896
91	692	6834
92	696	6797
93	699	6741
94	701	6682
95	703	6625
96	705	6566
97	779	7170
98	781	7109
99	783	7047
100	788	7019
101	791	6970
102	794	6920
103	796	6862
104	798	6805
105	800	6750
106	802	6695
107	805	6651
108	807	6598
109	809	6546
110	861	6901
111	863	6849
112	869	6828
113	872	6777
114	874	6726
115	876	6677
116	877	6623
117	879	6574
118	885	6552
119	887	6508
120	889	6461
121	890	6411
122	892	6365
123	895	6327
124	943	6602
125	945	6560
126	947	6512
127	949	6468
128	951	6426
129	954	6385
130	960	6374
131	965	6348
132	967	6308
133	969	6268
134	976	6259
135	979	6219
136	981	6179
137	999	6243
138	1001	6204
139	1004	6168
140	1010	6158
141	1012	6115
142	1014	6078
143	1016	6041
144	1019	6009
145	1024	5995
146	1027	5960
147	1029	5925
148	1031	5890
149	1076	6100
150	1078	6064
151	1080	6028
152	1082	5993
153	1092	6003
154	1094	5968
155	1097	5935
156	1123	6031
157	1125	5995
158	1126	5960
159	1128	5925
160	1130	5888
161	1132	5856
162	1138	5846
163	1140	5814
164	1142	5784
165	1145	5753
166	1147	5722
167	1152	5709
168	1155	5680
169	1157	5651
170	1169	5671
171	1172	5642
172	1181	5645
173	1187	5636
174	1189	5607
175	1191	5578
176	1193	5548
177	1195	5521
178	1201	5512
179	1204	5485
180	1206	5457
181	1208	5430
182	1210	5404
183	1212	5376
184	1219	5371
185	1221	5344
186	1223	5318
187	1225	5292
188	1227	5267
189	1234	5261
190	1236	5236
191	1238	5211
192	1240	5186
193	1242	5162
194	1248	5154
195	1250	5130
196	1253	5107
197	1259	5099
198	1265	5092
199	1267	5070
200	1269	5046
201	1272	5026
202	1274	5004
203	1280	4996
204	1282	4974
205	1284	4952
206	1286	4929
207	1288	4906
208	1290	4884
209	1292	4863
210	1294	4842
211	1301	4837
212	1306	4828
213	1308	4807
214	1310	4785
215	1312	4764
216	1314	4744
217	1316	4723
218	1322	4717
219	1324	4697
220	1326	4676
221	1328	4656
222	1330	4635
223	1332	4615
224	1338	4610
225	1340	4592
226	1342	4572
227	1344	4553
228	1347	4538
229	1356	4540
230	1358	4521
231	1360	4504
232	1363	4487
233	1369	4482
234	1371	4464
235	1373	4445
236	1375	4426
237	1376	4408
238	1379	4391
239	1385	4386
240	1387	4368
241	1389	4350
242	1390	4333
243	1392	4315
244	1394	4298
245	1397	4283
246	1399	4267
247	1404	4259
248	1406	4243
249	1412	4238
250	1414	4221
251	1416	4204
252	1418	4187
253	1420	4171
254	1422	4155
255	1428	4151
256	1430	4135
257	1432	4119
258	1434	4103
259	1436	4087
260	1437	4071
261	1449	4082
262	1451	4066
263	1461	4073
264	1463	4058
265	1465	4043
266	1467	4029
267	1475	4029
268	1477	4015
269	1479	4000
270	1481	3985
271	1483	3971
272	1495	3983
273	1497	3968
274	1500	3954
275	1509	3958
276	1511	3944
277	1513	3929
278	1515	3915
279	1521	3913
280	1524	3900
281	1526	3885
282	1528	3872
283	1530	3858
284	1541	3866
285	1544	3854
286	1546	3842
287	1552	3839
288	1598	3933
289	1602	3923
290	1604	3909
291	1608	3898
292	1611	3888
293	1617	3885
294	1626	3887
295	1632	3883
296	1634	3869
297	1637	3856
298	1651	3872
299	1656	3864
300	1671	3881
301	1673	3867
302	1676	3857
303	1681	3850
304	1683	3836
305	1685	3822
306	1687	3808
307	1689	3795
308	1694	3789
309	1696	3776
310	1737	3850
311	1740	3837
312	1751	3844
313	1753	3831
314	1756	3820
315	1762	3815
316	1783	3843
317	1785	3829
318	1787	3816
319	1793	3811
320	1795	3797
321	1797	3784
322	1798	3770
323	1800	3757
324	1802	3743
325	1808	3739
326	1810	3726
327	1812	3713
328	1814	3700
329	1816	3687
330	1818	3675
331	1829	3681
332	1831	3668
333	1833	3656
334	1835	3643
335	1842	3640
336	1844	3628
337	1846	3615
338	1849	3606
339	1851	3594
340	1853	3581
341	1856	3571
342	1858	3558
343	1863	3554
344	1865	3542
345	1867	3530
346	1870	3520
347	1872	3509
348	1879	3505
349	1881	3494
350	1883	3482
351	1886	3471
352	1888	3460
353	1894	3456
354	1896	3445
355	1898	3434
356	1900	3422
357	1902	3411
358	1904	3400
359	1910	3396
360	1914	3388
361	1916	3377
362	1918	3366
363	1920	3355
364	1925	3350
365	1928	3340
366	1930	3329
367	1931	3317
368	1933	3307
369	1935	3296
370	1952	3309
371	1958	3305
372	1960	3295
373	1962	3284
374	1976	3294
375	1978	3284
376	1980	3273
377	1982	3262
378	1984	3252
379	1986	3241
380	1988	3231
381	1990	3220
382	1994	3213
383	2000	3208
384	2003	3199
385	2005	3189
386	2007	3179
387	2008	3168
388	2037	3199
389	2039	3189
390	2041	3179
391	2044	3170
392	2046	3160
393	2048	3150
394	2050	3141
395	2052	3131
396	2055	3121
397	2060	3116
398	2062	3106
399	2064	3096
400	2066	3087
401	2099	3123
402	2101	3113
403	2104	3103
404	2105	3093
405	2107	3083
406	2113	3080
407	2115	3070
408	2118	3060
409	2120	3051
410	2122	3042
411	2128	3037
412	2130	3028
413	2132	3018
414	2134	3008
415	2163	3036
416	2165	3027
417	2167	3018
418	2169	3008
419	2171	2998
420	2177	2994
421	2179	2985
422	2181	2976
423	2183	2966
424	2185	2956
425	2187	2947
426	2193	2943
427	2195	2933
428	2196	2924
429	2198	2914
430	2203	2908
431	2205	2899
432	2207	2890
433	2209	2881
434	2211	2872
435	2213	2863
436	2228	2870
437	2230	2862
438	2233	2853
439	2235	2844
440	2237	2835
441	2239	2826
442	2240	2817
443	2247	2813
444	2252	2809
445	2254	2800
446	2256	2791
447	2262	2787
448	2264	2778
449	2265	2769
450	2267	2760
451	2269	2751
452	2271	2742
453	2272	2733
454	2278	2729
455	2281	2721
456	2282	2712
457	2284	2703
458	2286	2694
459	2287	2685
460	2289	2676
461	2291	2668
462	2293	2659
463	2295	2651
464	2308	2656
465	2310	2648
466	2312	2639
467	2318	2635
468	2320	2627
469	2322	2618
470	2324	2610
471	2325	2601
472	2327	2593
473	2333	2589
474	2335	2581
475	2343	2579
476	2349	2576
477	2351	2567
478	2353	2559
479	2354	2550
480	2356	2542
481	2358	2534
482	2363	2530
483	2365	2522
484	2367	2513
485	2369	2505
486	2371	2497
487	2372	2489
488	2396	2504
489	2398	2496
490	2400	2488
491	2402	2481
492	2404	2473
493	2407	2465
494	2416	2465
495	2418	2457
496	2421	2450
497	2423	2442
498	2425	2434
499	2427	2427
500	2428	2419
501	2430	2411
502	2432	2403
503	2448	2409
504	2450	2401
505	2456	2398
506	2458	2390
507	2460	2382
508	2461	2374
509	2463	2367
510	2466	2359
511	2472	2356
512	2474	2349
513	2476	2341
514	2478	2334
515	2480	2326
516	2485	2322
517	2491	2318
518	2493	2310
519	2494	2302
520	2497	2295
521	2512	2300
522	2518	2296
523	2520	2289
524	2522	2281
525	2524	2274
526	2526	2267
527	2528	2260
528	2534	2256
529	2536	2249
530	2538	2242
531	2567	2258
532	2569	2251
533	2571	2243
534	2572	2236
535	2574	2228
536	2576	2221
537	2582	2217
538	2585	2211
539	2586	2203
540	2588	2196
541	2590	2189
542	2592	2182
543	2597	2177
544	2599	2170
545	2601	2163
546	2618	2168
547	2620	2161
548	2622	2154
549	2624	2146
550	2630	2143
551	2632	2136
552	2634	2129
553	2636	2122
554	2637	2114
555	2639	2107
556	2645	2103
557	2647	2097
558	2649	2090
559	2651	2083
560	2652	2076
561	2655	2069
562	2661	2065
563	2663	2058
564	2665	2051
565	2666	2044
566	2668	2038
567	2671	2031
568	2676	2027
569	2678	2020
570	2681	2014
571	2683	2007
572	2685	2001
573	2697	2001
574	2700	1995
575	2702	1989
576	2709	1986
577	2711	1979
578	2713	1973
579	2715	1966
580	2717	1959
581	2723	1956
582	2725	1949
583	2727	1943
584	2729	1936
585	2731	1929
586	2733	1923
587	2740	1920
588	2742	1913
589	2743	1906
590	2745	1900
591	2751	1895
592	2753	1889
593	2755	1883
594	2757	1876
595	2759	1870
596	2761	1864
597	2767	1860
598	2769	1853
599	2771	1847
600	2773	1841
601	2775	1835
602	2778	1829
603	2780	1822
604	2787	1819
605	2789	1813
606	2791	1807
607	2797	1803
608	2799	1797
609	2800	1790
610	2802	1784
611	2804	1778
612	2806	1771
613	2812	1768
614	2814	1762
615	2816	1755
616	2818	1749
617	2820	1743
618	2822	1737
619	2832	1735
620	2833	1729
621	2835	1723
622	2837	1717
623	2839	1710
624	2840	1704
625	2842	1698
626	2844	1691
627	2846	1685
628	2848	1680
629	2850	1674
630	2867	1676
631	2869	1670
632	2871	1664
633	2872	1658
634	2874	1652
635	2879	1648
636	2881	1642
637	2883	1636
638	2885	1630
639	2888	1624
640	2891	1619
641	2901	1617
642	2903	1611
643	2905	1605
644	2907	1600
645	2913	1596
646	2915	1590
647	2916	1584
648	2918	1578
649	2945	1586
650	2947	1580
651	2949	1574
652	2951	1568
653	2953	1562
654	2954	1556
655	2961	1552
656	2962	1546
657	2965	1541
658	2967	1535
659	2968	1529
660	2970	1523
661	2975	1519
662	2978	1513
663	2979	1507
664	3042	1532
665	3046	1527
666	3048	1521
667	3050	1515
668	3052	1510
669	3059	1506
670	3061	1500
671	3063	1495
672	3065	1489
673	3067	1483
674	3073	1479
675	3075	1473
676	3077	1468
677	3079	1462
678	3080	1456
679	3096	1457
680	3099	1451
681	3104	1447
682	3107	1442
683	3109	1436
684	3111	1430
685	3113	1425
686	3115	1419
687	3117	1413
688	3119	1408
689	3121	1402
690	3124	1396
691	3127	1391
692	3133	1387
693	3135	1382
694	3141	1378
695	3143	1373
696	3145	1367
697	3148	1362
698	3150	1356
699	3152	1351
700	3154	1345
701	3156	1339
702	3158	1334
703	3160	1328
704	3162	1323
705	3169	1319
706	3173	1315
707	3175	1309
708	3177	1304
709	3190	1303
710	3193	1297
711	3195	1292
712	3200	1288
713	3202	1282
714	3204	1277
715	3206	1271
716	3208	1266
717	3210	1260
718	3215	1256
719	3217	1251
720	3219	1245
721	3226	1242
722	3233	1238
723	3235	1233
724	3237	1227
725	3239	1222
726	3240	1217
727	3242	1211
728	3244	1206
729	3246	1200
730	3248	1195
731	3250	1189
732	3251	1184
733	3253	1179
734	3257	1174
735	3259	1169
736	3270	1166
737	3275	1162
738	3277	1157
739	3279	1152
740	3281	1146
741	3283	1141
742	3285	1136
743	3290	1132
744	3292	1127
745	3294	1121
746	3296	1116
747	3298	1111
748	3300	1106
749	3306	1102
750	3308	1096
751	3310	1091
752	3312	1086
753	3322	1083
754	3338	1083
755	3341	1078
756	3343	1073
757	3345	1067
758	3351	1064
759	3353	1058
760	3355	1053
761	3356	1048
762	3358	1043
763	3360	1038
764	3370	1035
765	3373	1030
766	3375	1025
767	3381	1021
768	3383	1016
769	3386	1011
770	3388	1006
771	3390	1001
772	3392	996
773	3394	991
774	3396	986
775	3398	981
776	3401	976
777	3403	971
778	3443	976
779	3445	971
780	3447	966
781	3449	961
782	3451	956
783	3462	953
784	3464	948
785	3466	943
786	3468	938
787	3474	934
788	3476	929
789	3478	924
790	3480	919
791	3482	914
792	3484	909
793	3490	905
794	3492	900
795	3494	895
796	3496	890
797	3499	885
798	3514	884
799	3516	879
800	3522	875
801	3524	870
802	3526	865
803	3528	860
804	3530	855
805	3536	851
806	3538	846
807	3540	841
808	3542	836
809	3544	831
810	3546	826
811	3552	822
812	3569	821
813	3571	816
814	3573	811
815	3575	806
816	3577	801
817	3579	796
818	3585	792
819	3587	787
820	3588	782
821	3590	777
822	3592	772
823	3595	767
824	3601	763
825	3603	759
826	3605	754
827	3608	749
828	3610	744
829	3616	740
830	3618	735
831	3620	731
832	3622	726
833	3625	721
834	3633	718
835	3635	713
836	3637	708
837	3639	703
838	3641	698
839	3647	694
840	3649	689
841	3668	688
842	3670	683
843	3673	678
844	3678	674
845	3681	670
846	3683	665
847	3685	660
848	3687	655
849	3689	651
850	3694	646
851	3696	642
852	3698	637
853	3700	632
854	3726	632
855	3728	627
856	3730	622
857	3733	617
858	3734	613
859	3739	608
860	3741	604
861	3743	599
862	3745	594
863	3747	589
864	3749	585
865	3756	581
866	3758	576
867	3759	571
868	3763	567
869	3765	562
870	3768	558
871	3770	553
872	3772	548
873	3774	544
874	3776	539
875	3778	534
876	3780	530
877	3786	526
878	3788	521
879	3790	516
880	3792	512
881	3794	507
882	3796	503
883	3823	501
884	3824	497
885	3826	492
886	3837	488
887	3839	484
888	3844	480
889	3848	475
890	3851	471
891	3853	466
892	3855	462
893	3857	457
894	3859	452
895	3863	448
896	3865	443
897	3872	439
898	3874	435
899	3876	430
900	3880	426
901	3883	421
902	3885	417
903	3887	412
904	3889	408
905	3891	403
906	3898	399
907	3900	395
908	3902	390
909	3904	386
910	3912	382
911	3914	377
912	3916	373
913	3918	368
914	3925	364
915	3927	360
916	3930	355
917	3932	351
918	3938	347
919	3942	342
920	3944	338
921	3946	333
922	3948	329
923	3950	324
924	3952	320
925	3957	316
926	3959	311
927	3994	309
928	3996	305
929	3998	300
930	4000	296
931	4002	291
932	4009	287
933	4011	283
934	4013	279
935	4016	274
936	4020	270
937	4022	265
938	4024	261
939	4026	257
940	4029	252
941	4043	248
942	4045	244
943	4047	240
944	4051	235
945	4053	231
946	4055	226
947	4057	222
948	4058	218
